ticker,current_universe_status,qualification,exchange_or_market,stocklookup_candidate,official_source,official_security_status
HVG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
IBC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
IHK,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
ING,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KAC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KAI,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
KCE,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KHA,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KHB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KHL,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KLF,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KLM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
KSH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
L44,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LBC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LCC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LCS,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LCW,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LGM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LPS,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,HOSE,False,hose_public_stock_master/v1,NORMAL_OR_NO_SPECIAL_STATUS
LTG,STOCKLOOKUP_ONLY_UNRESOLVED,UNRESOLVED,UPCOM,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
LWS,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
MBN,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
MC3,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
MCI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
MES,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
MIM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
MTC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NEM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NHP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NNG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NQT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NS2,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NS3,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
NTB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PCB,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
PCN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PEC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PQN,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
PSG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PTN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PVA,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PX1,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
PXC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
QLD,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
QLT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
RDP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
RGC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
ROS,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
S27,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
S96,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SAP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SCY,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SD1,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SDB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SDH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SDJ,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SDX,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SGO,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SHG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SHX,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SIC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SJC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SPA,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SPP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SQC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SRT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SSF,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SSN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SSU,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
STL,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
SVI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TA3,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TAG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TAH,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
